:START_ID(Street),:END_ID(Ward),:TYPE
street|48f19b0874661e,ward|ho-chi-minh|phuong-tan-inh,IN_WARD
street|4921ecc9a618d8,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
street|492319f3419732,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|4969b574c71d97,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
street|49d68cbfb7b836,ward|ho-chi-minh|phuong-vuon-lai,IN_WARD
street|49d9ba6f867f06,ward|ho-chi-minh|xa-nha-be,IN_WARD
street|4a1829e07f2165,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
street|4a59c49e8c072a,ward|ho-chi-minh|phuong-tay-thanh,IN_WARD
street|4ae823a8131042,ward|ho-chi-minh|phuong-phuoc-thang,IN_WARD
street|4b338abccc51ce,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
street|4b682015fb8908,ward|ho-chi-minh|phuong-tan-son-hoa,IN_WARD
street|4bd1b1dac5380e,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
street|4c38ba1627144c,ward|ho-chi-minh|phuong-thuan-giao,IN_WARD
street|4c8977f6e0a937,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
street|4d2fcdce00044e,ward|ho-chi-minh|phuong-long-truong,IN_WARD
street|4d42a3617fce4f,ward|ho-chi-minh|phuong-di-an,IN_WARD
street|4d833330bc2157,ward|ho-chi-minh|phuong-thong-tay-hoi,IN_WARD
street|4de03d9b6410b5,ward|ho-chi-minh|phuong-tam-binh,IN_WARD
street|4dfedd23dea62a,ward|ho-chi-minh|phuong-thoi-an,IN_WARD
