:START_ID(Listing),:END_ID(Amenity),category:string,rank:int,is_nearest:boolean,straight_line_km:float,driving_distance_km:float,driving_duration_min:float,within_threshold:boolean,threshold_km:float,:TYPE
45038070,way/149904674,school,1,true,0.541,0.797,1.5,true,2.0,NEAR_AMENITY
45038070,node/9587204857,college_university,1,true,2.347,3.087,4.4,true,5.0,NEAR_AMENITY
45038070,way/1162981728,metro,1,true,7.861,10.113,12.5,false,3.0,NEAR_AMENITY
45038070,way/188114097,mall,1,true,2.934,4.003,5.8,true,5.0,NEAR_AMENITY
45038070,way/532651473,market,1,true,1.362,2.165,3.9,false,2.0,NEAR_AMENITY
45038070,way/961031448,supermarket,1,true,0.576,0.857,1.7,true,2.0,NEAR_AMENITY
45038070,way/149904638,park,1,true,0.486,1.378,2.5,true,5.0,NEAR_AMENITY
45038070,node/11760154456,bus_stop,1,true,0.461,0.75,1.4,true,2.0,NEAR_AMENITY
44691569,way/187895176,hospital,1,true,2.056,3.141,4.6,,,NEAR_AMENITY
44691569,way/1042557782,school,1,true,0.236,0.614,1.3,true,2.0,NEAR_AMENITY
44691569,way/192512338,college_university,1,true,0.755,1.415,2.5,true,5.0,NEAR_AMENITY
44691569,node/11586280298,metro,1,true,0.531,1.467,2.8,true,3.0,NEAR_AMENITY
44691569,node/2624268215,mall,1,true,1.919,3.194,4.2,true,5.0,NEAR_AMENITY
44691569,node/8269175107,market,1,true,0.509,1.179,2.4,true,2.0,NEAR_AMENITY
44691569,node/9645043685,supermarket,1,true,0.328,1.052,2.0,true,2.0,NEAR_AMENITY
44691569,way/504571792,park,1,true,0.675,1.309,2.3,true,5.0,NEAR_AMENITY
44691569,node/11775511382,bus_stop,1,true,0.664,1.274,2.1,true,2.0,NEAR_AMENITY
44868190,way/187949834,hospital,1,true,0.386,0.966,1.7,,,NEAR_AMENITY
44868190,way/187895182,school,1,true,0.057,0.043,0.1,true,2.0,NEAR_AMENITY
